Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30165203,American Gods,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",5,4.11,William Morrow,Kindle Edition,635,2011,2001,2021/12/24,2021/12/20,,,read,merry christmas american gods!!! i quite enjoyed this and though there are definitely points which could have been cut (I read the extended edition) I was all in with shadow. some reviews said it wasn't very exciting for a book about gods but i think that was its strength in being a bit mundane? they were human enough characters to imagine they really walked our streets which is what i think its strength was! thank you kiran for recommendation!!!,,,1,0
52843028,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"Christie, Agatha",,"=""1734452595""","=""9781734452594""",4,4.00,Warbler Classics,Paperback,174,2020,1920,2021/12/20,2021/12/05,,,read,fun detective work! less fun people descriptions! will read more poirot ,,,1,1
12073240,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",4,4.14,Vintage International,Paperback,245,1993,1989,2021/12/16,2021/12/15,,,read,"am I avoiding working on my prelim? yes, yes I am<br/>I think there were parts of this that flew over my head because of a lack of nuanced history knowledge, but overall a very interesting meditation on what it means to be human and how much of themselves people put into their work. ",,,1,1
31522415,What It Means When a Man Falls from the Sky,Lesley Nneka Arimah,"Arimah, Lesley Nneka",,"=""0735211027""","=""9780735211025""",5,4.11,Riverhead Books,Hardcover,232,2017,2017,2021/12/15,2021/12/05,,,read,"adding unedited thoughts I have on each story, mild spoilers<br/>war stories: my least favorite of the bunch, also read this a second time and both times i was like meh so im wondering if i missed something, a slow start for me<br/>wild: this was the first one where i was really invested along with the characters and i was eyes bulging when she said the thing about the kid!!! i enjoy the characters being complicated and you dont know who to root for completely and the girl hiding her ecstasy was a funny line<br/>light: CRUSHED me im so sad for that girl, this one was the one that haunted me the longest<br/>second chances: i liked this one and the rumination of a world turned so quickly upside down and not knowing like what to focus on or who to talk with but i could have used a few more pages!! she was gone at the end but where!! i also read the first scene in the mattress store thinking she was a ghost or something the first time so i had to retrace that part<br/>windfalls: PAIN i had to put the book down for a bit after this one, the storytelling was so vivid<br/>who willl greet you at home: i feel like i got the point of this one but not quite? wanted a bit more world building to understand the dolls but this was a good first turn into the science fiction<br/>buchi’s girls: i was rooting so hard for the chicken<br/>WIMWAMFFTS: i loved the idea of this one and read it twice bc i quite enjoyed it but i struggled the first time because i was focusing so much on the invented geopolitical conflict which ended up being not very relevant? / it was meaningful but i think deserved its own story to flourish because it was a good idea. this one def i could see being transformed into full length novel i really enjoyed how clever the premise was and how quickly she could build up a world, have you understand it, and then have some parts of it torn down by the end and have feelings about it !!<br/>glory: really enjoyed!!! i feel like this is something a lot of authors strive to and can’t get right with short stories of having a conflicted decision / cliff hanger at the end whos resolution doesn’t change the main drive of the story, and i felt for her so much with the dog mouth thing holy cow<br/>WIAV: i liked it fine enough but it didn't totally move me, i thought that ant was going to give the stone to the girl and it would be river's daughter since he forgot where she is<br/>redemption: dhskjlhajk more pain if i was the editor i would have swapped this and glory in order because it was such a morose story but i guess the last line was supposed to be hopeful<br/><br/>// im going to write a full review SOON but WOW add this to your to-read please and thank you!! ty sofea",,,1,1
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",0,4.11,Twelve,Kindle Edition,273,2012,2012,,2021/12/15,"home-shelf-havent-read, to-read","home-shelf-havent-read (#6), to-read (#48)",to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",4,3.85,Vintage Books ,Paperback,288,2010,2005,2021/12/13,2021/12/01,,,read,I enjoyed the perspective and scifi idea of hearing from the meat machines! would have liked more about the world building and less about the drama of the interpersonal relationships because I think that is where the author's strengths lie. looking forward to reading more of his!,true,,1,1
43868109,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385545681""","=""9780385545686""",0,4.54,Doubleday,Hardcover,535,2021,2021,,2021/12/09,to-read,to-read (#47),to-read,,,,0,0
58744977,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,"=""1501171348""","=""9781501171345""",0,3.84,Simon & Schuster,Hardcover,306,2021,2021,,2021/12/09,to-read,to-read (#46),to-read,,,,0,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",5,4.21,Bantam Books,Hardcover,224,2004,1950,2021/12/09,2021/10/31,,,read,I forgot to write that I read this but enjoyed more than I expected! very fun thoughts about the problems with creating 'foolproof' safe robots in a series of vignettes. my favorite was about a robot posing as a human running for political office. ,,,1,1
60929,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446603775""","=""9780446603775""",4,4.16,Warner Books,Paperback,248,1997,1987,2021/12/04,2021/12/01,,,read,I liked this but the ending was way too abrupt,,,1,0
